"","name","position","points","available"
"226","Colt McCoy","QB",70.88,"available"
"227","Lorenzo Taliaferro","RB",70.6,"available"
"228","Philly Brown","WR/TE",70.1,"available"
"229","Brent Celek","WR/TE",70,"available"
"230","EJ Manuel","QB",68.72,"available"
"231","Kamar Aiken","WR/TE",68.7,"available"
"232","Travis Benjamin","WR/TE",68.5,"available"
"233","Anthony Dixon","RB",68.1,"available"
"234","Ryan Mathews","RB",66.9,"available"
"235","Stepfan Taylor","RB",65.7,"available"
"236","Jeff Cumberland","WR/TE",65.7,"available"
"237","C.J. Spiller","RB",65.5,"available"
"238","Levine Toilolo","WR/TE",64.8,"available"
"239","Khiry Robinson","RB",64.5,"available"
"240","Zac Stacy","RB",64.5,"available"
"241","Brandon Gibson","WR/TE",64.5,"available"
"242","Dion Sims","WR/TE",64.4,"available"
"243","Vernon Davis","WR/TE",62.9,"available"
"244","Dexter McCluster","WR/TE",62.8,"available"
"245","Victor Cruz","WR/TE",62.7,"available"
"246","Josh Hill","WR/TE",61.6,"available"
"247","Brice Butler","WR/TE",61,"available"
"248","Clay Harbor","WR/TE",60.9,"available"
"249","Charles Sims","RB",60.5,"available"
"250","Derek Anderson","QB",60.44,"available"
"251","Kyle Rudolph","WR/TE",59.1,"available"
"252","Damien Williams","RB",57.9,"available"
"253","Daniel Fells","WR/TE",56.8,"available"
"254","Eric Ebron","WR/TE",55.8,"available"
"255","De'Anthony Thomas","RB",54.9,"available"
"256","Chase Ford","WR/TE",54.8,"available"
"257","Joseph Randle","RB",54.6,"available"
"258","Richard Rodgers","WR/TE",54.5,"available"
"259","Daniel Thomas","RB",53.9,"available"
"260","Leon Washington","RB",53.6,"available"
"261","Austin Seferian-Jenkins","WR/TE",53.1,"available"
"262","Danny Amendola","WR/TE",53,"available"
"263","Stevan Ridley","RB",52,"available"
"264","Juwan Thompson","RB",51.7,"available"
"265","Shonn Greene","RB",51.5,"available"
"266","Darrel Young","RB",51.3,"available"
"267","Marcedes Lewis","WR/TE",50.6,"available"
