name,team,position,points,bye_week,available
Heath Miller,PIT,WR/TE,160.1,11,TRUE
Larry Donnell,NYG,WR/TE,153.3,11,TRUE
Dwayne Allen,IND,WR/TE,116.5,10,TRUE
Zach Ertz,PHI,WR/TE,144.2,8,TRUE
Jared Cook,STL,WR/TE,133.4,6,TRUE
Charles Clay,BUF,WR/TE,136.5,8,TRUE
Owen Daniels,DEN,WR/TE,124.7,7,TRUE
Jermaine Gresham,CIN,WR/TE,138,7,TRUE
Mychal Rivera,OAK,WR/TE,133.4,6,TRUE
Scott Chandler,NE,WR/TE,114.7,4,TRUE
Tim Wright,FA,WR/TE,87.7,NA,TRUE
Lance Kendricks,STL,WR/TE,82.9,6,TRUE
Niles Paul,WAS,WR/TE,93.7,8,TRUE
Jordan Cameron,MIA,WR/TE,78.4,5,TRUE
Luke Willson,SEA,WR/TE,76.2,9,TRUE
Andrew Quarless,GB,WR/TE,79.3,7,TRUE
Josh Hill,NO,WR/TE,61.6,11,TRUE
Anthony Fasano,KC,WR/TE,71.6,9,TRUE
Jace Amaro,NYJ,WR/TE,84.5,5,TRUE
Jordan Reed,WAS,WR/TE,94.5,8,TRUE
Jeff Cumberland,NYJ,WR/TE,65.7,5,TRUE
John Carlson,ARI,WR/TE,76,9,TRUE
Daniel Fells,NYG,WR/TE,56.8,11,TRUE
Dion Sims,MIA,WR/TE,64.4,5,TRUE
Brent Celek,PHI,WR/TE,70,8,TRUE
Vernon Davis,SF,WR/TE,62.9,10,TRUE
Kyle Rudolph,MIN,WR/TE,59.1,5,TRUE
Clay Harbor,JAC,WR/TE,60.9,8,TRUE
Gavin Escobar,DAL,WR/TE,43.5,6,TRUE
Richard Rodgers,GB,WR/TE,54.5,7,TRUE
Levine Toilolo,ATL,WR/TE,64.8,10,TRUE
Marcedes Lewis,JAC,WR/TE,50.6,8,TRUE
Austin Seferian-Jenkins,TB,WR/TE,53.1,6,TRUE
Chase Ford,MIN,WR/TE,54.8,5,TRUE
Eric Ebron,DET,WR/TE,55.8,9,TRUE
Cooper Helfet,SEA,WR/TE,42.5,9,TRUE
Jim Dray,CLE,WR/TE,47.2,11,TRUE
Rhett Ellison,MIN,WR/TE,47.8,5,TRUE
Garrett Graham,HOU,WR/TE,43.7,9,TRUE
Ben Watson,NO,WR/TE,45.6,11,TRUE
Maxx Williams,BAL,WR/TE,0,9,TRUE
Jacob Tamme,ATL,WR/TE,34.9,10,TRUE
Virgil Green,DEN,WR/TE,19.7,7,TRUE
Ladarius Green,SD,WR/TE,41.6,10,TRUE
Tyler Kroft,CIN,WR/TE,0,7,TRUE
Rob Housler,CLE,WR/TE,22,11,TRUE
Tyler Eifert,CIN,WR/TE,6.7,7,TRUE
